,title,dept_num,description,credits,instructor,syllabus,university,term,keyword,URL,new
3051,Technology and Society,2,"Lecture, two hours; discussion, one hour; outside study, three hours. Introduction of broader societal opportunities, impacts, and challenges associated with technology. Drawing from historical and contemporary examples, consideration of some of ethical, policy, and legal questions spurred by rapid technological change. Development of perspectives to take broad, contextualized view of role of technology in society. Letter grading.",Units: 2,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,technolog
3052,Ethics and Impact of Technology on Society,181EW,"Lecture, five hours; discussion, three hours; outside study, four hours. Requisite: English Composition 3. Not open for credit to students with credit for course 182EW, 183EW, or 185EW. Focuses on changing nature of technology and complex ethical issues that emerge as result in areas such as biotechnology, information technology, nanotechnology, and energy technology. Discussion of nature of these issues; their ethical, legal, and social ramifications; and what society values in relation to these issues. Exploration of philosophy, religion, and natural and social sciences in relation to these issues. Emphasis on research and writing within engineering environments. Writing and revision of about 20 pages total, including two individual technical essays and one team-written research report. Readings address technical issues and writing form. Satisfies engineering writing requirement. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,technolog
3053,Technology and Society,182EW,"Lecture, four hours; discussion, three hours; outside study, five hours. Requisite: English Composition 3, and one course from Civil Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170, Mechanical and Aerospace Engineering 174, or Statistics 100A. Not open for credit to students with credit for course 182EW, 183EW, or 185EW. Places engineering in broader societal context through examination of some of key ethical, legal, and regulatory issues and frameworks relevant to design and deployment of emerging technology products and services. Historical examination of ethical and legal frameworks generally and in relation to technology. Exploration of series of specific contemporary technology-related topics to examine their broader ramifications. Topics include driverless cars, algorithms and artificial intelligence, global supply chain for engineering products, cryptocurrencies and blockchain, net neutrality, and impact of technology on employment. Offers students tools enabling them to think more proactively and holistically about ethical and societal dimensions of their work as technology creators. Satisfies engineering writing requirement. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,technolog
3057,"Information, Technology, Business, and Society",260,"Seminar, three hours. Interdisciplinary research seminar to bring sound social sciences methods to latest technology developments to design effective information-based solutions to social problems. Topics include selection and framing of research questions, developing measurements, designing appropriate methods (e.g., surveys, experiments, using available data), ethical issues, and writing up research proposals. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,inform
3077,Hyperconnected World: Society and Internet,113,"Seminar, three hours. Designed for College Honors students. Exploration of social, political, economic, psychological, and cultural dimensions of our hyperconnected world via Internet. Topics include transformations of social relationships online, virtual versus real communities, identity and its creations, trust and deception, politics and social media, surveillance and privacy, economics, intellectual property, culture, education, and knowledge, and digital wellness. P/NP or letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,internet
3083,Digital Cultures and Societies,20,"Lecture, five hours. Designed for undergraduate students. Examination of social and cultural contexts of global spread of digital networks and systems. Exploration of ethical, infrastructural, and political questions raised at intersection of technologies and cultures. Topics include social media revolutions, indigenous and non-Western uses of technology, cross-cultural design, digital media literacies, and more. Letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,digit
3084,Internet and Society,30,"Lecture, five hours. Designed for undergraduate students. Examination of information technology in society, including Internet, World Wide Web, search engines (e.g., Google, Yahoo, Lycos), retrieval systems, electronic publishing, and distribution of media, including newspapers, books, and music. Exploration of many of these technologies, social, cultural, and political context in which they exist, and how social relationships are changing. Letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,internet
3085,Information in Society  ,200,"Lecture, two hours; discussion, two hours. Examination of processes by which information and knowledge are created, integrated, disseminated, organized, used, and preserved. Topics include history of communication technologies, evolution of literacy, development of information professions, and social issues related to information access. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,inform
3086,Perspectives on Information Societies,209,"Seminar, three and one half hours. Survey of theoretical perspectives on emergence of late-20th- and early-21st-century information societies from range of disciplines. Topics include nature of social change and development, theories of modernity and postmodernity, and social, economic, technological, and cultural shifts associated with information technologies and rise of information as commodity. Presentation of work of key writers and scholars in areas of information society policy and issues. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,inform
3106,Using Data to Learn about Society: Introduction to Empirical Research and Statistics,60,"Lecture, three hours; discussion, two hours. Introduction to statistics through examination of topics of public interest. Familiarization with research design principles and hands-on data analysis using statistical software. Students learn how to find and organize quantitative data; summarize, display, and interpret data; draw inferences from samples (including understanding margins of error, standard errors, and confidence intervals); test hypotheses about associations between two variables (including tests of proportion, t-tests, chi-squared, correlation); and communicate findings to lay audience. Letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,data
3121,Biotechnology and Society,M71A,"(Same as Clusters M71A.) Lecture, three hours; discussion, two hours. Course M71A is enforced requisite to M71B, which is enforced requisite to M71CW. Limited to first-year freshmen. Exploration of methods, applications, and implications of biotechnology and of ethical, social, and political implications as well as biological underpinnings. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,technolog
3122,Biotechnology and Society,M71B,"(Same as Clusters M71B.) Lecture, three hours; discussion, two hours. Enforced requisite: course M71A. Limited to first-year freshmen. Exploration of methods, applications, and implications of biotechnology and of ethical, social, and political implications as well as biological underpinnings. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,technolog
3123,Biotechnology and Society: Special Topics,M71CW,"(Same as Clusters M71CW.) Seminar, three hours. Enforced requisite: course M71B. Limited to first-year freshmen. Topics include in-depth examination of ethics and human genetics, bioweapons and biodefense, sex and biotechnology. Satisfies Writing II requirement. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,technolog
3130,Biotechnology and Society,130,"Lecture, three hours. Technical manipulation of living matter from humans, animals, and plants as scientific and social undertaking. How biotechnology came into existence. Questions, controversies, and changes that come with ability to make living technologies. Rise of engineering ideal in American biology. Biological modernism, ideas of immortality and technical suppression of death, molecularization of life, genetic engineering, food biotechnology, and control of reproduction. Practice and perception of living bodies as factories and machines. Changing economic and legal infrastructure of biological invention. Unfolding of contemporary social controversies concerning biotechnology. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,technolog
3177,Digital Surveillance & the 4th Amendment,607,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,surveil,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=surveil&funsel=1,digit
3184,Client-Based Program Evaluation and Research,105SL,"(Formerly numbered Civic Engagement 105SL.) Seminar, three hours; fieldwork, 10 hours. Limited to juniors/seniors. Service learning course for undergraduate students and community partners through which students learn theory and practice of program evaluation. Evaluation of nonprofit organizations in Los Angeles by research teams. Offered in summer only. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,program
3185,"Program Planning, Research, and Evaluation in Community Health Sciences",211A,"Lecture, three hours; discussion, one hour; outside assignments, eight hours. Requisite: course 210. Course 211A is requisite to 211B. Development, planning, and administration of public health programs in community settings. Introduction to range of research methods and techniques used in designing and conducting health research, with particular emphasis on evaluation of community-based public health programs. Course organized into three modules. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,program
3186,"Program Planning, Research, and Evaluation in Community Health Sciences",211B,"Lecture, three hours; discussion, one hour; outside assignments, eight hours. Requisites: courses 210, 211A, and Biostatistics 100A or Epidemiology 100. Development, planning, and administration of public health programs in community settings. Introduction to range of research methods and techniques used in designing and conducting health research, with particular emphasis on evaluation of community-based public health programs. Course organized into three modules. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,program
3187,"Program Planning, Research, and Evaluation in Community Health Sciences (Effective Spring 2020 )",211B,"Lecture, three hours; discussion, one hour; outside assignments, eight hours. Requisites: courses 210, 211A, Public Health 200A, 200B. Development, planning, and administration of public health programs in community settings. Introduction to range of research methods and techniques used in designing and conducting health research, with particular emphasis on evaluation of community-based public health programs. Course organized into three modules. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,program
3188,Issues in Program Evaluation  ,214,"Discussion, three hours; reading and research paper, one hour. Requisite: course 212. Advanced seminar that explores problems of planning and implementing evaluation research in context of local demonstration projects. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,program
3189,Planning and Evaluation of Global Health Programs,441,"Lecture, four hours. Theory, guidelines, and team exercise for planning community health/family planning projects in U.S. and in developing countries. Phases include community needs identification; goal setting; budget and work plan development; funding; staffing; evaluation design; data and cost analysis; and project presentation. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,program
3196,Educational Program Evaluation,139,"Seminar, four hours. Stages and methods for conducting evaluations of educational and social programs, with emphasis on evaluation approaches that are theoretically grounded, methodologically rigorous, practical, and useful. Letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,program
3201,Program Evaluation and Assessment in Student Affairs,417,"Lecture, two hours; discussion, two hours. Introduction to assessment and program evaluation in context of student affairs and higher education. Examination of usefulness and appropriateness of various program evaluation methodologies and theories of assessment practice. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,program
3202,Program Development and Program Evaluation in Student Affairs,426A,"Lecture, two hours. Introduction to program development and planning, as well as to assessment and program review. Development of knowledge of and skill in planning educational and training programs that provide support for learning within context of student affairs, as well as knowledge of and skill in developing, implementing, and analyzing assessment projects within student affairs context. Study of basic theoretical perspectives underlying program design/implementation and program review/assessment and application by developing, implementing, and assessing effectiveness of one program. In Progress grading (credit to be given only on completion of course 426B).",Units: 2,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,program
3203,Program Development and Program Evaluation in Student Affairs,426B,"Lecture, two hours. Introduction to program development and planning, as well as to assessment and program review. Development of knowledge of and skill in planning educational and training programs that provide support for learning within context of student affairs, as well as knowledge of and skill in developing, implementing, and analyzing assessment projects within student affairs context. Study of basic theoretical perspectives underlying program design/implementation and program review/assessment and application by developing, implementing, and assessing effectiveness of one program. Letter grading.",Units: 2,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,program
3211,Values and Communities in Information Professions,212,"Lecture, two hours; discussion, two hours. Forum to discuss, understand, and critique value systems and power structures embedded in information and work in diverse societies. Exploration of importance of thinking locally, from grassroots, in design, evaluation, and engagement with information institutions and technologies, ranging from archives and libraries to Internet. Aspects of information society that shape and are shaped by cultural, societal, professional, community, and individual values, including exploration of impact of such values on professional practice, decision making, and public policy. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,inform
3212,"Assessment, Measurement, and Evaluation of Information Organizations and Services",228,"Lecture, four hours. Introduction to assessment and evaluation as formal processes of inquiry with individual components. Demonstration of use of evidence gathered for planning, decision making, and accountability in information organizations. Review and implementation of various methods appropriate to design of assessment and evaluation studies. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,inform
3231,Evaluative Processes,204C,"Lecture, three hours. Designed for graduate psychology students. Lectures and discussion on current research in application of learning principles to clinical and social problems such as alcohol and drug abuse, aggression, fear management, mental retardation, behavioral medicine, autism/schizophrenia, etc. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,process
3234,Program Evaluation Research,285H,"Lecture, three hours. Discussion of differences and similarities between evaluation and other research, alternative program evaluation methods, roles and limitations of evaluation research in real world, development of proposals for feasible program evaluation research. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,valu,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=valu&funsel=1,program
3257,"Perinatal Healthcare: Principles, Programs, and Policies",432,"Lecture, three hours; discussion, one hour. Comprehensive examination of perinatal healthcare, including perinatal epidemiology, outcome measures, public programs, controversies surrounding new technology, regionalization, organization of services at federal, state, and county levels, and medical/legal issues. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,program
3258,"Child Health, Programs, and Policies",M436A,"(Same as Health Policy M449A.) Lecture, four hours. Requisite: Health Policy 100. Course M436A is requisite to M436B. Examination of history of child health policy trends and determinants of health, structure, and function of health service system; needs, programs, and policies affecting especially at-risk populations. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,program
3259,"Child Health, Programs, and Policies",M436B,"(Same as Health Policy M449B.) Lecture, four hours. Requisites: course M436A, Health Policy 100. Examination of history of child health policy trends and determinants of health, structure, and function of health service system; needs, programs, and policies affecting especially at-risk populations. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,program
3260,Nutrition Policies and Programs: Domestic and International  Perspectives,448,"Lecture, two hours; discussion, two hours; field visits. Preparation: one nutrition sciences course and/or nutrition program experience. Nutrition programs and policies in U.S. and developing countries compared and contrasted. Analysis of role of major international, governmental, and nongovernmental agencies. Emphasis on meeting needs of vulnerable populations. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,program
3279,Decision Analysis and Advanced Computer Methods for Educational Policy and Planning,246A,"Seminar, four hours. How information technology and decision analysis impact K-12 schooling, higher education, and technical training/workplace settings. With research paper, oral presentation, and two research briefs, students can pursue decision analysis areas of special interest to their professional and career objectives. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,comput
3288,"Science, Technology, and Public Policy",CM182,"(Formerly numbered Electrical Engineering CM182.) (Same as Public Affairs M164 and Public Policy CM182.) Lecture, three hours. Recent and continuing advances in science and technology are raising profoundly important public policy issues. Consideration of selection of critical policy issues, each of which has substantial ethical, social, economic, political, scientific, and technological aspects. Concurrently scheduled with course CM282. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,technolog
3289,"Science, Technology, and Public Policy",CM282,"(Formerly numbered Electrical Engineering CM282.) (Same as Public Policy CM282.) Lecture, three hours. Recent and continuing advances in science and technology are raising profoundly important public policy issues. Consideration of selection of critical policy issues, each of which has substantial ethical, social, economic, political, scientific, and technological aspects. Concurrently scheduled with course CM182. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,technolog
3303,Health Care Systems and Health Policy (Effective Spring 2020 ),100,"Lecture, four hours; discussion, one hour. Structure and function of U.S. health care system, health care policy, and issues and forces shaping its future. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,system
3313,"Global Health Institutions, Policies, and Systems",240,"Lecture, four hours. Introduction to global health, from health policy and management perspective. Examination of institutions, from global to local, through lenses including governance, financing, history, and agenda-setting. Discussion of major topics in global health systems, such as human resources and health IT. Through series of short assignments, students' work culminates in final presentation that examines these many dimensions of single topic in global health. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,system
3320,"Child Health, Programs, and Policies",M449A,"(Same as Community Health Sciences M436A.) Lecture, four hours. Requisite: course 100. Course M449A is requisite to M449B. Examination of history of child health policy trends and determinants of health, structure, and function of health service system; needs, programs, and policies affecting especially at-risk populations. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,program
3321,"Child Health, Programs, and Policies",M449B,"(Same as Community Health Sciences M436B.) Lecture, four hours. Requisite: course M449A. Examination of history of child health policy trends and determinants of health, structure, and function of health service system; needs, programs, and policies affecting especially at-risk populations. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,program
3324,Seminar: Intellectual Freedom and Information Policy Issues,203,"Seminar, four hours. Investigation of concept of intellectual freedom, information policy issues, civil liberties and civil rights, censorship, and other restraints on access to information. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,inform
3325,Cyberspace Law and Policy,205,"Lecture, four hours. Legal and policy concerns of networked technologies from international perspective. Emphasis on jurisdictional issues, freedom of expression, intellectual property, privacy, security, equity, and electronic commerce in online environment. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,cyber
3326,Data Curation and Policy,262B,"Lecture, three and one half hours. Designed for MLIS students. Continuation of course 262A to address topics of data curation and policy in more depth. Data selection and appraisal, archives and repositories, economics of data management, data citation and metrics, technologies for data access and curation, provenance, intellectual property, policy roles of multiple stakeholders in data, and institutional challenges in curation and stewardship of research data. Assessment of data archives and repositories and group project to curate actual data of UCLA researchers in other academic departments. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,data
3330,Cybersecurity Law and Policy,232,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,cyber
3378,"Operations and Technology Management: Systems, Strategies, and Policies",410,"(Formerly numbered Management 474.) Lecture, three hours. Limited to Executive MBA program students. Analysis of strategic and operating policies and decisions for systems that produce goods and services. Examination of role of comprehensive planning, inventories, scheduling of resources, distribution systems, and system location. Comprehensive operating problems.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,system
3395,Foreign Policy Process  ,227,"Seminar, three hours. Requisites: courses 120A, 220A, 220B. Political science and policy science approaches to national foreign policy process, with primary focus on formulation and implementation of American foreign policy. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,process
3412,"Science, Technology, and Public Policy",M164,"(Same as Electrical and Computer Engineering CM182 and Public Policy CM182.) Lecture, three hours. Recent and continuing advances in science and technology are raising profoundly important public policy issues. Consideration of selection of critical policy issues, each of which has substantial ethical, social, economic, political, scientific, and technological aspects. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,technolog
3423,"Science, Technology, and Public Policy",CM182,"(Same as Electrical and Computer Engineering CM182 and Public Affairs M164.) Lecture, three hours. Recent and continuing advances in science and technology are raising profoundly important public policy issues. Consideration of selection of critical policy issues, each of which has substantial ethical, social, economic, political, scientific, and technological aspects. Concurrently scheduled with course CM282. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,technolog
3450,"Science, Technology, and Public Policy",CM282,"(Same as Electrical and Computer Engineering CM282.) Lecture, three hours. Recent and continuing advances in science and technology are raising profoundly important public policy issues. Consideration of selection of critical policy issues, each of which has substantial ethical, social, economic, political, scientific, and technological aspects. Concurrently scheduled with course CM182. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,technolog
3451,Policy Analysis of Emerging Environmental Technologies,M286,"(Same as Urban Planning M268.) Lecture, three hours. Acquisition and utilization of economic, finance, planning, and policy analytic tools needed to evaluate factors that drive market adoption from early to middle market phases. Rooftop solar, electric vehicle, and energy efficiency as focal examples, with emphasis on role of policy and planning incentives intended to spur adoption. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,technolog
3471,Introduction to Social Welfare: Policies and Programs,100A,"Lecture, four hours. Origin and development of major U.S. social welfare programs and policies guiding them, with emphasis on analysis of policy developments/issues related to provision of social welfare services. Study of historical and current responses of profession to major social problems. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,program
3505,Policy Analysis of Emerging Environmental Technologies,M268,"(Same as Public Policy M286.) Lecture, three hours. Acquisition and utilization of economic, finance, planning, and policy analytic tools needed to evaluate factors that drive market adoption from early to middle market phases. Rooftop solar, electric vehicle, and energy efficiency as focal examples, with emphasis on role of policy and planning incentives intended to spur adoption. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polic&funsel=1,technolog
